0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.545032677683674365e+03,4.130039796867375117e+03,7.261364950271781709e+03
-1.769468978128638881e+01,3.984119603300754534e+03,8.497033387639694411e+03
-2.386498865848886055e+02,3.147085371141591622e+03,9.816746227504567287e+03
-3.852940131556698020e+02,1.967701112772546821e+03,1.060735654738019912e+04
-4.584192791195412156e+02,6.669541551721638371e+02,1.094897378430006393e+04
-4.584192791195412156e+02,-6.669541551721638371e+02,1.094897378430006393e+04
-3.852940131556698020e+02,-1.967701112772546821e+03,1.060735654738019912e+04
-2.386498865848886055e+02,-3.147085371141591622e+03,9.816746227504567287e+03
-1.769468978128638881e+01,-3.984119603300754534e+03,8.497033387639694411e+03
1.545032677683674365e+03,-4.130039796867375117e+03,7.261364950271781709e+03
1.710396647429982295e+03,-3.971596867617147382e+03,8.492040169869373130e+03
2.010662168873772544e+03,-3.129431848146949960e+03,9.787197879905024820e+03
2.118729000086963879e+03,-1.954505651551093706e+03,1.055854695742183867e+04
2.167339946638129732e+03,-6.634087911809183424e+02,1.088984163896167411e+04
2.167339946638129732e+03,6.634087911809183424e+02,1.088984163896167411e+04
2.118729000086963879e+03,1.954505651551093706e+03,1.055854695742183867e+04
2.010662168873772544e+03,3.129431848146949960e+03,9.787197879905024820e+03
1.710396647429982295e+03,3.971596867617147382e+03,8.492040169869373130e+03
8.630767430175425261e+02,4.156500000000000000e+03,7.423819809051550692e+03
8.630767430175425261e+02,-4.156500000000000000e+03,7.423819809051550692e+03
1.788411925181107449e+02,0.000000000000000000e+00,9.330143770911035972e+02
4.176659156066992864e+02,0.000000000000000000e+00,2.004726442732644728e+03
4.765199236180078515e+02,5.157016350455110114e+02,2.418727234093311381e+03
1.011869059808190741e+03,8.594846546686400188e+02,4.671178520435503742e+03
1.447067774285810856e+03,2.719932768512390339e+03,7.354965134765166113e+03
1.534246979582864242e+03,1.343793359478797811e+03,7.833401527870663813e+03
4.765199236180078515e+02,-5.157016350455110114e+02,2.418727234093311381e+03
1.011869059808190741e+03,-8.594846546686400188e+02,4.671178520435503742e+03
1.447067774285810856e+03,-2.719932768512390339e+03,7.354965134765166113e+03
1.534246979582864242e+03,-1.343793359478797811e+03,7.833401527870663813e+03
-6.579255760134888931e+01,1.326846700332877617e+03,5.531595097127406916e+03
-4.266184384707922561e+01,2.055303030683679481e+03,7.255100779358766886e+03
-9.211118715063555840e+01,1.267408888894256961e+03,7.827716375899724881e+03
-6.579255760134888931e+01,-1.326846700332877617e+03,5.531595097127406916e+03
-4.266184384707922561e+01,-2.055303030683679481e+03,7.255100779358766886e+03
-9.211118715063555840e+01,-1.267408888894256961e+03,7.827716375899724881e+03
